ID,Title,Tags,Rating,Solved,Accepted
1858E2,Rollbacks (Hard Version),"data structures, interactive, trees",2600,943,0
1858E1,Rollbacks (Easy Version),"brute force, data structures, dfs and similar, trees",2500,1183,0
1858D,Trees and Segments,"brute force, data structures, dp, greedy, two pointers",2200,2536,0
1858C,Yet Another Permutation Problem,"constructive algorithms, greedy, math, number theory",1000,20907,0
1858B,The Walkway,"brute force, dp, greedy, math, number theory",1500,10000,0
1858A,Buttons,"games, greedy, math",800,30808,0
1857G,Counting Graphs,"combinatorics, divide and conquer, dsu, graphs, greedy, sortings, trees",2000,3781,0
1857F,Sum and Product,"binary search, data structures, math",1600,9545,0
1857E,Power of Points,"math, sortings",1500,10641,0
1857D,Strong Vertices,"math, sortings, trees",1300,16471,0
1857C,Assembly via Minimums,"greedy, sortings",1200,20720,0
1857B,Maximum Rounding,"greedy, implementation, math",1100,21173,0
1857A,Array Coloring,"greedy, math",800,39518,0
1856E2,PermuTree (hard version),"bitmasks, dfs and similar, dp, fft, greedy, implementation, math, trees",2700,1259,0
1856E1,PermuTree (easy version),"dfs and similar, dp, trees",1800,4569,0
1856D,More Wrong,"divide and conquer, interactive",2100,2933,0
1856C,To Become Max,"binary search, brute force, data structures, dp",1600,10110,0
1856B,Good Arrays,"implementation, math",900,21886,0
1856A,Tales of a Sort,implementation,800,25064,0
1855B,Longest Divisors Interval,"brute force, combinatorics, greedy, math, number theory",900,21449,0
1855A,Dalton the Teacher,"greedy, math",800,26311,0
1854F,Mark and Spaceship,"brute force, dp",3500,93,0
1854E,Game Bundles,"brute force, constructive algorithms, dp, greedy, math",3000,360,1
1854D,Michael and Hotel,"binary search, interactive, trees",3000,449,1
1854C,Expected Destruction,"combinatorics, dp, math, probabilities",2500,1325,1
1854B,Earn or Unlock,"bitmasks, brute force, dp",2200,3155,1
